full_name,age,positions,nationality,overall_rating,potential,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,national_team,national_team_position,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,tags,traits,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,current_age
Jules Olivier Ntcham,23,"CM,CDM",France,73,82,Right,1,3,3,High/ High,Normal,,,66,58,51,76,66,74,69,70,74,74,75,75,71,63,75,76,55,80,78,74,66,69,66,72,72,73,72,73,63,8,14,14,6,6,,"Flair,Long Passer (CPU AI Only),Long Shot Taker (CPU AI Only),Playmaker (CPU AI Only)",67+2,67+2,67+2,70+2,69+2,69+2,69+2,70+2,71+2,71+2,71+2,71+2,72+2,72+2,72+2,71+2,71+2,72+2,72+2,72+2,71+2,69+2,68+2,68+2,68+2,69+2,29
Christian Mathenia,26,GK,Germany,73,75,Right,2,1,1,Medium/ Medium,Normal,,,15,12,14,31,16,15,15,15,25,23,47,44,35,69,39,20,55,45,69,15,30,19,15,35,23,54,15,12,12,74,68,64,74,77,,"Puncher,Cautious With Crosses",,,,,,,,,,,,,,,,,,,,,,,,,,,32
Emiliano Buendía,22,"RM,LM",Argentina,73,80,Right,1,3,3,High/ High,Stocky,,,72,69,60,74,66,74,72,58,71,76,71,74,81,67,83,62,45,63,59,64,70,59,69,75,49,61,58,68,52,11,10,13,7,9,,"Flair,Technical Dribbler (CPU AI Only)",68+2,68+2,68+2,72+2,71+2,71+2,71+2,72+2,72+2,72+2,72+2,72+2,70+2,70+2,70+2,72+2,66+2,66+2,66+2,66+2,66+2,64+2,62+2,62+2,62+2,64+2,28
Diogo José Rosário Gomes Figueiras,27,"RB,RM",Portugal,73,74,Right,1,3,3,High/ Medium,Normal,,,74,41,50,71,47,73,56,43,66,77,85,84,87,67,90,77,78,76,37,69,67,70,68,63,48,64,67,71,73,13,12,16,7,16,,,63+2,63+2,63+2,70+2,68+2,68+2,68+2,70+2,69+2,69+2,69+2,71+2,69+2,69+2,69+2,71+2,73+2,68+2,68+2,68+2,73+2,72+2,65+2,65+2,65+2,72+2,33
Anders Christiansen,28,CM,Denmark,73,73,Right,1,3,3,High/ High,Lean,,,64,64,56,72,66,71,69,65,74,72,75,73,84,69,83,72,77,81,62,68,77,65,71,74,68,71,64,63,73,16,6,8,6,9,,"Dives Into Tackles (CPU AI Only),Finesse Shot,Flair,Playmaker (CPU AI Only)",67+2,67+2,67+2,70+2,70+2,70+2,70+2,70+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2,69+2,69+2,69+2,69+2,69+2,69+2,66+2,66+2,66+2,69+2,34
Camilo Mayada,28,"RB,LB,LM",Uruguay,73,73,Right,1,3,3,High/ Medium,Normal,,,70,57,58,68,64,76,70,67,65,69,90,91,74,72,78,73,72,90,71,70,65,69,68,63,65,73,65,66,65,12,15,9,10,14,#Speedster,"Speed Dribbler (CPU AI Only),Technical Dribbler (CPU AI Only)",68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,69+2,69+2,69+2,72+2,69+2,69+2,69+2,72+2,72+2,68+2,68+2,68+2,72+2,71+2,66+2,66+2,66+2,71+2,34
Mike van der Hoorn,26,CB,Netherlands,73,76,Right,1,3,2,Medium/ Medium,Normal,,,41,42,80,61,26,45,33,31,62,54,34,42,32,62,37,73,83,57,85,31,64,70,40,37,40,62,76,77,70,7,11,15,10,15,,Power Header,53+2,53+2,53+2,45+2,48+2,48+2,48+2,45+2,47+2,47+2,47+2,48+2,54+2,54+2,54+2,48+2,59+2,65+2,65+2,65+2,59+2,61+2,72+2,72+2,72+2,61+2,32
Amir Abedzadeh,25,GK,Iran,73,77,Right,1,2,1,Medium/ Medium,Normal,,,12,10,13,24,12,10,13,14,18,15,30,25,53,71,36,14,55,21,60,11,26,14,10,47,11,34,13,14,14,71,71,64,72,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
Jacek Góralski,26,CDM,Poland,73,77,Right,1,2,2,Medium/ High,Normal,,,55,42,55,70,47,61,46,46,71,68,70,73,84,64,81,50,62,86,73,46,90,77,62,67,43,75,66,70,69,11,14,7,10,5,,,58+2,58+2,58+2,62+2,61+2,61+2,61+2,62+2,64+2,64+2,64+2,64+2,67+2,67+2,67+2,64+2,69+2,72+2,72+2,72+2,69+2,69+2,69+2,69+2,69+2,69+2,32
Ángelo José Rodríguez Henry,29,ST,Colombia,73,73,Right,1,3,2,Medium/ Medium,Stocky,,,45,74,68,63,57,65,32,35,38,74,71,75,59,73,54,74,58,69,83,59,73,26,78,59,64,69,42,18,20,15,10,12,9,6,,Backs Into Player,72+2,72+2,72+2,67+2,70+2,70+2,70+2,67+2,66+2,66+2,66+2,65+2,58+2,58+2,58+2,65+2,50+2,49+2,49+2,49+2,50+2,47+2,47+2,47+2,47+2,47+2,35
Luciano Narsingh,28,"RW,LW",Netherlands,73,73,Right,2,3,4,Medium/ Low,Normal,,,72,68,40,71,62,75,69,59,42,74,91,91,80,67,77,65,34,51,65,54,28,20,68,68,58,71,20,28,22,10,8,14,8,6,#Speedster,Technical Dribbler (CPU AI Only),67+2,67+2,67+2,73+2,71+2,71+2,71+2,73+2,70+2,70+2,70+2,71+2,60+2,60+2,60+2,71+2,52+2,45+2,45+2,45+2,52+2,48+2,37+2,37+2,37+2,48+2,34
Bruno Miguel Semedo Varela,24,GK,Portugal,73,77,Right,1,3,1,Medium/ Medium,Lean,,,20,16,16,31,12,19,20,13,25,25,37,43,59,65,43,19,51,44,73,18,23,17,14,52,24,25,15,12,20,76,70,63,74,75,,Puncher,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Kevin Möhwald,25,"CM,CAM",Germany,73,77,Right,1,2,3,Medium/ Medium,Normal,,,82,56,54,74,75,74,80,68,76,71,64,65,72,75,70,86,53,79,66,84,53,49,69,73,46,73,67,60,31,15,13,12,10,8,,"Power Free-Kick,Injury Free,Avoids Using Weaker Foot,Long Shot Taker (CPU AI Only),Set Play Specialist",68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,71+2,71+2,71+2,72+2,71+2,71+2,71+2,72+2,65+2,64+2,64+2,64+2,65+2,61+2,57+2,57+2,57+2,61+2,31
Kerim Mrabti,24,"CAM,ST,CM",Sweden,73,79,Right,1,3,3,Medium/ Medium,Normal,,,58,68,55,72,62,73,57,54,69,75,89,83,86,61,93,62,74,84,70,53,84,51,68,73,58,69,57,56,52,6,6,8,9,9,,,67+2,67+2,67+2,71+2,70+2,70+2,70+2,71+2,71+2,71+2,71+2,72+2,69+2,69+2,69+2,72+2,65+2,65+2,65+2,65+2,65+2,63+2,61+2,61+2,61+2,63+2,30
Álvaro José Jiménez Guerrero,23,RM,Spain,73,80,Right,1,3,3,High/ Medium,Normal,,,74,69,48,69,69,76,74,49,64,74,77,77,67,62,72,75,55,75,58,66,57,48,71,69,49,62,57,39,32,7,12,10,7,5,,"Flair,Speed Dribbler (CPU AI Only)",68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,70+2,70+2,70+2,71+2,66+2,66+2,66+2,71+2,61+2,58+2,58+2,58+2,61+2,57+2,51+2,51+2,51+2,57+2,29
Bruno Alexandre Vieira Almeida,21,RM,Portugal,73,84,Left,1,3,4,Medium/ Medium,Normal,,,72,64,45,74,71,77,82,65,66,76,76,73,76,74,72,81,74,65,62,77,58,46,67,72,69,69,36,47,43,15,7,11,15,10,,"Early Crosser,Flair,Long Passer (CPU AI Only),Long Shot Taker (CPU AI Only)",68+2,68+2,68+2,73+2,72+2,72+2,72+2,73+2,73+2,73+2,73+2,72+2,69+2,69+2,69+2,72+2,61+2,59+2,59+2,59+2,61+2,58+2,52+2,52+2,52+2,58+2,27
Federico Barba,25,"CB,LB",Italy,73,79,Left,1,2,2,Low/ Medium,Lean,,,37,21,73,61,32,48,30,29,56,59,69,69,67,68,51,47,66,68,75,31,72,76,27,29,35,66,75,73,74,7,11,12,13,8,,"Dives Into Tackles (CPU AI Only),Backs Into Player",48+2,48+2,48+2,48+2,47+2,47+2,47+2,48+2,48+2,48+2,48+2,50+2,53+2,53+2,53+2,50+2,64+2,66+2,66+2,66+2,64+2,67+2,72+2,72+2,72+2,67+2,31
Hany Mukhtar,23,CAM,Germany,73,80,Right,1,5,3,High/ Medium,Normal,,,68,60,40,74,55,76,60,67,64,78,76,81,89,70,87,70,71,89,53,62,36,43,66,72,60,66,47,40,43,15,10,9,9,12,,"Flair,Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only)",65+2,65+2,65+2,72+2,70+2,70+2,70+2,72+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,63+2,58+2,58+2,58+2,63+2,59+2,49+2,49+2,49+2,59+2,29
Carlos Hernández Alarcón,28,CB,Spain,73,74,Right,1,3,2,Medium/ High,Normal,,,34,40,81,62,27,49,26,24,60,58,55,50,50,62,45,73,85,73,84,37,71,71,45,40,39,64,68,72,71,13,9,12,14,14,,Power Header,56+2,56+2,56+2,49+2,52+2,52+2,52+2,49+2,51+2,51+2,51+2,51+2,56+2,56+2,56+2,51+2,61+2,65+2,65+2,65+2,61+2,63+2,71+2,71+2,71+2,63+2,34
Samir Caetano de Souza Santos,24,"CB,LB",Brazil,73,77,Left,1,2,2,Medium/ High,Normal,,,63,24,68,62,28,58,29,30,58,62,66,68,50,66,36,60,60,69,76,26,78,74,30,47,44,65,73,76,74,11,11,14,11,14,,Injury Prone,50+2,50+2,50+2,52+2,51+2,51+2,51+2,52+2,52+2,52+2,52+2,56+2,57+2,57+2,57+2,56+2,68+2,68+2,68+2,68+2,68+2,69+2,72+2,72+2,72+2,69+2,30
Juan Carlos Real Ruiz,27,"CAM,LM",Spain,73,73,Right,1,3,3,High/ Medium,Lean,,,65,71,49,73,49,71,55,54,64,74,71,63,74,68,68,56,60,70,56,69,45,45,72,74,60,75,60,49,41,8,11,14,6,8,,"Technical Dribbler (CPU AI Only),Set Play Specialist",65+2,65+2,65+2,70+2,70+2,70+2,70+2,70+2,71+2,71+2,71+2,70+2,68+2,68+2,68+2,70+2,60+2,60+2,60+2,60+2,60+2,58+2,53+2,53+2,53+2,58+2,33
Pedro Rocha Neves,24,"LW,ST,LM",Brazil,73,79,Right,1,3,3,High/ Medium,Lean,,,67,71,67,72,58,75,45,38,65,72,79,79,81,75,67,61,65,55,59,62,42,32,73,66,66,69,41,30,27,14,8,6,10,13,,Technical Dribbler (CPU AI Only),70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,71+2,71+2,71+2,71+2,65+2,65+2,65+2,71+2,55+2,52+2,52+2,52+2,55+2,52+2,47+2,47+2,47+2,52+2,30
Diego Hipólito da Silva Lopes,24,"CAM,LW,CM",Brazil,73,77,Right,1,4,3,Medium/ Low,Lean,,,64,65,55,72,59,76,68,61,68,75,74,72,81,73,84,69,49,69,33,64,71,42,68,73,67,67,36,53,51,16,11,7,15,11,,Playmaker (CPU AI Only),66+2,66+2,66+2,71+2,71+2,71+2,71+2,71+2,72+2,72+2,72+2,71+2,69+2,69+2,69+2,71+2,61+2,59+2,59+2,59+2,61+2,59+2,51+2,51+2,51+2,59+2,30
Dean Henderson,21,GK,England,73,83,Right,1,2,1,Medium/ Medium,Lean,,,14,9,13,32,5,13,13,10,31,32,51,48,53,72,56,23,63,34,60,6,21,11,8,33,16,39,17,14,14,74,70,68,68,75,,"GK Long Throw,Cautious With Crosses,Saves with Feet",,,,,,,,,,,,,,,,,,,,,,,,,,,27
Andrés Chávez,27,ST,Argentina,73,74,Left,1,2,3,High/ Medium,Stocky,,,66,70,71,61,76,73,68,66,59,67,75,77,73,69,66,81,84,81,83,80,80,48,72,73,68,76,25,30,28,14,14,6,12,10,,"Avoids Using Weaker Foot,Long Shot Taker (CPU AI Only)",72+2,72+2,72+2,70+2,71+2,71+2,71+2,70+2,69+2,69+2,69+2,69+2,65+2,65+2,65+2,69+2,56+2,55+2,55+2,55+2,56+2,53+2,51+2,51+2,51+2,53+2,33
Gustavo Toledo,29,RB,Argentina,73,73,Right,1,3,3,Medium/ Medium,Normal,,,68,43,52,68,27,73,37,25,63,69,85,81,76,75,68,66,77,86,66,55,62,70,67,68,37,70,57,72,72,7,7,10,10,10,,Long Throw-in,62+2,62+2,62+2,68+2,67+2,67+2,67+2,68+2,67+2,67+2,67+2,70+2,68+2,68+2,68+2,70+2,72+2,68+2,68+2,68+2,72+2,71+2,66+2,66+2,66+2,71+2,35
Lucas Ariel Boyé,23,"LM,ST,CAM",Argentina,73,81,Right,1,2,3,Medium/ Medium,Normal,,,60,66,69,74,65,80,65,36,58,81,75,70,72,69,69,71,69,68,78,63,70,30,69,71,66,70,50,36,30,14,7,11,15,7,,"Injury Free,Backs Into Player,Target Forward",71+2,71+2,71+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,71+2,67+2,67+2,67+2,71+2,57+2,57+2,57+2,57+2,57+2,54+2,53+2,53+2,53+2,54+2,29
Bill Hamid,28,GK,United States,73,76,Right,1,2,1,Medium/ Medium,Stocky,,,15,12,11,35,14,11,15,12,26,20,42,41,34,66,46,18,68,25,75,20,31,19,15,43,23,32,19,18,12,74,70,70,73,74,,"Injury Prone,Comes For Crosses",,,,,,,,,,,,,,,,,,,,,,,,,,,34
Munir Mohand Mohamedi,29,GK,Morocco,73,74,Right,1,3,1,Medium/ Medium,Normal,,,21,19,23,30,13,19,25,16,33,31,45,45,43,68,44,45,65,43,77,11,24,22,15,42,25,50,15,21,18,72,74,68,75,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
Jaïro Riedewald,22,"CDM,CB",Netherlands,73,80,Left,1,3,3,Medium/ Medium,Normal,,,65,46,69,77,45,66,35,35,75,75,65,63,69,65,61,69,67,67,68,49,69,74,53,64,42,62,73,74,72,15,7,15,9,15,,,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,65+2,65+2,65+2,66+2,68+2,68+2,68+2,66+2,70+2,72+2,72+2,72+2,70+2,70+2,71+2,71+2,71+2,70+2,28
Riccardo Orsolini,22,"RW,RM",Italy,73,85,Left,1,4,4,High/ Medium,Normal,,,76,58,52,76,68,79,76,66,60,80,79,77,78,64,68,76,50,64,66,68,44,40,62,68,56,74,52,26,24,11,11,14,6,12,,"Flair,Technical Dribbler (CPU AI Only)",67+2,67+2,67+2,72+2,70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,66+2,66+2,66+2,72+2,58+2,55+2,55+2,55+2,58+2,54+2,47+2,47+2,47+2,54+2,28
Brecht Dejaegere,27,"CM,RM,CDM,LM",Belgium,73,74,Right,1,4,4,High/ High,Normal,,,63,51,54,71,68,76,64,68,65,74,81,71,90,75,83,75,80,90,70,68,80,72,72,75,60,76,64,69,68,7,8,9,9,8,"#Engine,#Acrobat","Diver,Injury Prone,Dives Into Tackles (CPU AI Only),Leadership,Flair,Technical Dribbler (CPU AI Only)",67+2,67+2,67+2,71+2,71+2,71+2,71+2,71+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,71+2,71+2,71+2,72+2,71+2,68+2,68+2,68+2,71+2,33
Sherman Andrés Cárdenas Estupiñán,29,"CAM,CM,RM,LM",Colombia,73,73,Left,1,2,3,High/ Medium,Normal,,,74,66,41,72,72,73,74,74,67,71,79,79,82,69,90,72,87,78,38,72,62,42,70,76,79,66,58,32,26,14,7,8,13,13,,"Flair,Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only),Takes Finesse Free Kicks",66+2,66+2,66+2,72+2,71+2,71+2,71+2,72+2,72+2,72+2,72+2,72+2,68+2,68+2,68+2,72+2,60+2,57+2,57+2,57+2,60+2,56+2,47+2,47+2,47+2,56+2,35
Marcin Kamiński,27,CB,Poland,73,75,Left,1,2,2,High/ Medium,Lean,Poland,SUB,55,53,70,72,44,59,52,54,75,66,65,76,54,72,58,72,78,65,76,60,65,73,59,56,34,58,76,73,71,9,10,7,6,10,,"Power Free-Kick,Avoids Using Weaker Foot,Long Passer (CPU AI Only)",64+2,64+2,64+2,62+2,63+2,63+2,63+2,62+2,63+2,63+2,63+2,63+2,66+2,66+2,66+2,63+2,68+2,71+2,71+2,71+2,68+2,69+2,72+2,72+2,72+2,69+2,33
Douglas Arthur Armeira Bahia,27,RB,Brazil,73,73,Right,1,3,3,High/ Medium,Normal,,,70,54,59,69,53,69,63,47,52,67,70,74,71,68,76,71,71,83,67,50,82,70,57,56,58,66,77,74,72,12,7,11,11,7,,,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,63+2,63+2,63+2,66+2,64+2,64+2,64+2,66+2,72+2,69+2,69+2,69+2,72+2,71+2,71+2,71+2,71+2,71+2,33
Kristian Pedersen,24,LB,Denmark,73,78,Left,1,2,2,Medium/ Medium,Normal,,,68,30,73,66,28,67,36,25,47,66,66,67,56,72,48,49,68,79,81,39,75,80,49,52,30,61,72,74,70,6,7,7,15,14,,"Long Throw-in,Avoids Using Weaker Foot",56+2,56+2,56+2,59+2,57+2,57+2,57+2,59+2,58+2,58+2,58+2,62+2,61+2,61+2,61+2,62+2,71+2,69+2,69+2,69+2,71+2,71+2,73+2,73+2,73+2,71+2,30
Jorge Marco de Oliveira Moraes,22,LB,Brazil,73,79,Left,1,3,3,High/ Medium,Lean,,,74,41,53,73,61,75,62,36,66,73,78,77,78,73,62,72,55,73,59,66,59,72,70,58,43,68,67,73,68,8,11,5,12,12,,Early Crosser,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,70+2,69+2,69+2,69+2,70+2,72+2,69+2,69+2,69+2,72+2,71+2,66+2,66+2,66+2,71+2,28
Edgar Antonio Méndez Ortega,27,"RM,LM,LW",Spain,73,73,Right,1,2,3,High/ Medium,Normal,,,73,71,69,72,71,72,72,43,68,73,74,82,66,64,54,75,72,74,81,66,74,42,72,70,68,68,35,45,34,13,16,11,6,14,,Speed Dribbler (CPU AI Only),72+2,72+2,72+2,71+2,71+2,71+2,71+2,71+2,70+2,70+2,70+2,72+2,67+2,67+2,67+2,72+2,59+2,58+2,58+2,58+2,59+2,57+2,55+2,55+2,55+2,57+2,33
Dídac Vilá Rosselló,29,"LB,LWB",Spain,73,73,Left,1,3,3,High/ Medium,Normal,,,74,38,69,66,46,71,71,37,68,72,70,75,65,67,54,72,72,77,75,61,78,74,66,59,34,66,67,75,76,15,7,5,9,8,,Dives Into Tackles (CPU AI Only),63+2,63+2,63+2,65+2,64+2,64+2,64+2,65+2,64+2,64+2,64+2,67+2,67+2,67+2,67+2,67+2,72+2,71+2,71+2,71+2,72+2,72+2,72+2,72+2,72+2,72+2,35
José Diogo Dalot Teixeira,19,RB,Portugal,73,84,Right,1,3,3,High/ Medium,Normal,,,77,52,65,72,44,76,75,44,60,75,78,77,69,76,70,76,77,76,71,59,80,70,71,64,43,74,69,69,67,10,6,10,6,8,,,68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,69+2,69+2,69+2,72+2,69+2,69+2,69+2,72+2,73+2,70+2,70+2,70+2,73+2,72+2,70+2,70+2,70+2,72+2,25
Timothy Evans Fosu-Mensah,21,"RB,CB",Netherlands,73,82,Right,1,4,3,Medium/ Low,Normal,,,64,57,69,72,55,63,60,34,63,67,79,87,73,67,62,69,76,70,78,60,80,70,61,61,48,67,70,73,73,11,8,8,7,11,,Dives Into Tackles (CPU AI Only),66+2,66+2,66+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,67+2,66+2,66+2,66+2,67+2,70+2,70+2,70+2,70+2,70+2,71+2,72+2,72+2,72+2,71+2,27
Ailton Jonas Valpaços Salazar,27,"CB,CDM",Brazil,73,73,Right,1,3,2,Medium/ Medium,Lean,,,47,42,72,73,50,60,60,48,67,66,71,62,67,64,62,79,76,75,79,76,80,65,55,50,50,72,70,75,77,8,13,9,9,10,,"Avoids Using Weaker Foot,Dives Into Tackles (CPU AI Only)",62+2,62+2,62+2,60+2,61+2,61+2,61+2,60+2,61+2,61+2,61+2,61+2,64+2,64+2,64+2,61+2,66+2,69+2,69+2,69+2,66+2,68+2,72+2,72+2,72+2,68+2,33
Michael Jhon Ander Rangel Valencia,28,ST,Colombia,73,73,Right,1,3,3,High/ Medium,Normal,,,49,78,78,58,80,64,60,62,50,68,59,63,71,67,56,74,79,74,79,70,54,31,81,61,65,68,54,25,23,8,8,8,13,15,,,72+2,72+2,72+2,65+2,68+2,68+2,68+2,65+2,65+2,65+2,65+2,63+2,60+2,60+2,60+2,63+2,50+2,50+2,50+2,50+2,50+2,49+2,50+2,50+2,50+2,49+2,34
Rubén García Santos,25,"CAM,LM,RM",Spain,73,78,Left,1,2,3,Medium/ Medium,Normal,,,69,68,56,72,59,77,74,70,62,76,88,76,86,64,84,65,68,66,51,73,58,33,63,72,67,59,35,40,35,9,14,13,14,10,,"Long Shot Taker (CPU AI Only),Technical Dribbler (CPU AI Only)",67+2,67+2,67+2,73+2,71+2,71+2,71+2,73+2,72+2,72+2,72+2,72+2,66+2,66+2,66+2,72+2,57+2,54+2,54+2,54+2,57+2,54+2,47+2,47+2,47+2,54+2,31
Martín Nervo,28,"CB,RB",Argentina,73,74,Right,1,2,2,Medium/ High,Normal,,,57,38,77,64,41,48,55,44,64,66,63,64,48,78,58,55,75,84,80,43,76,70,51,38,38,69,69,74,68,10,9,10,11,7,,Power Header,57+2,57+2,57+2,55+2,55+2,55+2,55+2,55+2,55+2,55+2,55+2,58+2,60+2,60+2,60+2,58+2,68+2,69+2,69+2,69+2,68+2,69+2,72+2,72+2,72+2,69+2,34
Andrés Ibargüen,26,"LM,LW",Colombia,73,74,Right,1,3,3,High/ Medium,Lean,,,69,64,44,67,49,78,61,52,61,74,91,90,92,66,86,63,82,56,37,63,46,34,69,70,53,62,51,24,21,9,8,14,14,9,"#Speedster,#Acrobat","Injury Free,Flair,Technical Dribbler (CPU AI Only)",65+2,65+2,65+2,73+2,71+2,71+2,71+2,73+2,71+2,71+2,71+2,72+2,63+2,63+2,63+2,72+2,55+2,50+2,50+2,50+2,55+2,52+2,42+2,42+2,42+2,52+2,32
Jack O'Connell,24,CB,England,73,80,Left,1,2,2,Medium/ Medium,Stocky,,,60,35,68,58,30,55,38,32,57,53,61,66,49,67,46,41,81,73,83,40,82,75,29,27,34,58,74,71,72,9,12,7,6,12,,Injury Free,50+2,50+2,50+2,50+2,48+2,48+2,48+2,50+2,48+2,48+2,48+2,53+2,53+2,53+2,53+2,53+2,66+2,65+2,65+2,65+2,66+2,67+2,72+2,72+2,72+2,67+2,30
Christian Clemens,27,"RM,LM",Germany,73,73,Right,2,3,3,Medium/ Medium,Normal,,,68,66,68,73,61,70,75,69,67,73,83,79,70,73,72,73,68,74,68,71,58,39,71,73,55,69,58,45,37,16,6,12,15,6,,"Injury Prone,Speed Dribbler (CPU AI Only)",70+2,70+2,70+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,68+2,68+2,68+2,72+2,61+2,60+2,60+2,60+2,61+2,59+2,56+2,56+2,56+2,59+2,33
Víctor Rodríguez Romero,29,"LM,RM,CAM,CM",Spain,73,73,Right,1,4,3,Medium/ Medium,Normal,,,69,68,40,73,52,73,69,79,66,76,79,74,79,69,79,74,30,68,63,74,52,33,72,74,80,59,47,47,44,12,11,15,11,9,,Technical Dribbler (CPU AI Only),68+2,68+2,68+2,72+2,72+2,72+2,72+2,72+2,73+2,73+2,73+2,72+2,68+2,68+2,68+2,72+2,60+2,58+2,58+2,58+2,60+2,57+2,49+2,49+2,49+2,57+2,35
Tom Ince,27,"RW,CAM",England,73,73,Left,1,3,4,Medium/ Medium,Lean,,,70,69,40,67,44,75,75,73,59,75,80,77,86,68,81,70,55,70,52,70,38,33,72,67,68,67,33,35,21,9,12,15,8,8,,"Flair,Technical Dribbler (CPU AI Only),Set Play Specialist,Takes Finesse Free Kicks",66+2,66+2,66+2,72+2,71+2,71+2,71+2,72+2,71+2,71+2,71+2,71+2,65+2,65+2,65+2,71+2,55+2,51+2,51+2,51+2,55+2,51+2,41+2,41+2,41+2,51+2,33
Christopher Buchtmann,26,"CM,CDM,CAM",Germany,73,76,Left,1,4,3,Medium/ Medium,Normal,,,74,57,49,76,56,71,72,68,78,74,75,66,80,69,83,78,74,79,58,75,63,63,61,71,57,72,64,61,58,13,6,7,16,10,,"Long Shot Taker (CPU AI Only),Playmaker (CPU AI Only)",65+2,65+2,65+2,70+2,68+2,68+2,68+2,70+2,70+2,70+2,70+2,71+2,71+2,71+2,71+2,71+2,68+2,68+2,68+2,68+2,68+2,66+2,62+2,62+2,62+2,66+2,32
Gaëtan Bussmann,28,LB,France,73,73,Left,1,2,2,Low/ High,Normal,,,69,54,76,62,41,61,51,56,59,66,66,69,63,73,62,76,75,69,75,62,76,75,51,48,39,69,73,77,76,15,9,15,14,10,,,63+2,63+2,63+2,61+2,61+2,61+2,61+2,61+2,60+2,60+2,60+2,62+2,62+2,62+2,62+2,62+2,70+2,69+2,69+2,69+2,70+2,71+2,74+2,74+2,74+2,71+2,34
Ivo Tiago dos Santos Rodrigues,23,"RW,LW,LM",Portugal,73,79,Right,1,4,4,High/ Medium,Lean,,,70,67,48,68,66,79,68,66,53,75,84,77,92,68,72,76,83,71,60,67,68,36,70,69,70,64,36,41,39,8,7,16,11,13,#Acrobat,"Flair,Long Shot Taker (CPU AI Only),Speed Dribbler (CPU AI Only),Technical Dribbler (CPU AI Only)",68+2,68+2,68+2,73+2,72+2,72+2,72+2,73+2,71+2,71+2,71+2,71+2,65+2,65+2,65+2,71+2,59+2,55+2,55+2,55+2,59+2,56+2,49+2,49+2,49+2,56+2,29
Roberto Torres Morales,29,"LM,CM,RM",Spain,73,73,Right,1,4,3,High/ High,Normal,,,76,73,52,69,63,71,70,81,73,73,70,64,66,72,73,80,66,82,71,72,69,59,70,77,77,75,55,65,55,7,8,15,8,14,,"Finesse Shot,Takes Finesse Free Kicks",69+2,69+2,69+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2,72+2,71+2,71+2,71+2,72+2,67+2,67+2,67+2,67+2,67+2,65+2,62+2,62+2,62+2,65+2,35
Mapou Yanga-Mbiwa,29,CB,France,73,73,Right,2,3,2,Medium/ Medium,Normal,,,52,23,74,68,28,61,33,23,64,61,65,66,62,72,62,52,73,67,75,41,76,72,36,42,49,65,69,73,73,9,13,9,6,10,,Injury Free,52+2,52+2,52+2,54+2,53+2,53+2,53+2,54+2,54+2,54+2,54+2,57+2,59+2,59+2,59+2,57+2,66+2,68+2,68+2,68+2,66+2,68+2,71+2,71+2,71+2,68+2,35
Tiago Magalhães de Sá,24,GK,Portugal,73,81,Right,1,3,1,Medium/ Medium,Normal,,,13,9,10,16,9,18,14,12,29,25,26,25,40,72,55,17,60,17,54,6,26,14,8,57,13,57,10,14,14,73,71,69,72,75,,Puncher,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Oliver Sorg,28,"RB,CB",Germany,73,73,Right,2,4,2,Low/ Medium,Normal,,,68,40,58,72,61,68,59,50,62,72,75,69,77,70,79,79,63,74,64,65,76,73,49,60,51,68,76,75,74,11,10,7,8,13,,Long Throw-in,61+2,61+2,61+2,64+2,63+2,63+2,63+2,64+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,65+2,72+2,71+2,71+2,71+2,72+2,72+2,71+2,71+2,71+2,72+2,34
